	movie_title	content_rating	imdb_id	imdb_link	postername	poster_link
4111	You Kill Me	R	tt0796375	https://www.imdb.com/title/tt0796375	You Kill Me Poster	https://m.media-amazon.com/images/M/MV5BMTAyMjg3NDE4MDleQTJeQWpwZ15BbWU3MDg2NzE4NDE@._V1_UX182_CR0,0,182,268_AL_.jpg
4112	Thumbsucker	R	tt0318761	https://www.imdb.com/title/tt0318761	Thumbsucker Poster	https://m.media-amazon.com/images/M/MV5BYTYyZDUzNGItMTA0Zi00ODhkLTk5NzktYTg3YjFjMWFjZmI1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg
4113	Red State	R	tt0873886	https://www.imdb.com/title/tt0873886	Red State Poster	https://m.media-amazon.com/images/M/MV5BMTQyNjMwMzA1MV5BMl5BanBnXkFtZTcwMzQyNDAxNg@@._V1_UX182_CR0,0,182,268_AL_.jpg
4114	Mirrormask	PG	tt0366780	https://www.imdb.com/title/tt0366780	Mirrormask Poster	https://m.media-amazon.com/images/M/MV5BMGEyMjcyNDctYWVkNy00ZDEyLTgxMDUtNWY0ZWIyNWMzNGJlXkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_UX182_CR0,0,182,268_AL_.jpg
4115	Samsara	PG-13	tt0770802	https://www.imdb.com/title/tt0770802	Samsara Poster	https://m.media-amazon.com/images/M/MV5BNjY3NzM4MTI5NF5BMl5BanBnXkFtZTcwMjk3NTA5Nw@@._V1_UY268_CR0,0,182,268_AL_.jpg
4116	The Barbarians	R	tt0092615	https://www.imdb.com/title/tt0092615	The Barbarians Poster	https://m.media-amazon.com/images/M/MV5BMGE0YTQwNDAtNTUxZC00ZjYxLWFjOTItNmIyZGQ5ZGI3NGIwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg
4117	The Art of Getting By	PG-13	tt1645080	https://www.imdb.com/title/tt1645080	The Art of Getting By Poster	https://m.media-amazon.com/images/M/MV5BNDg3NzE5MjU3MV5BMl5BanBnXkFtZTcwNjY1NTgxNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg
4118	Zipper	R	tt3346224	https://www.imdb.com/title/tt3346224	Zipper Poster	https://m.media-amazon.com/images/M/MV5BMjIxODgzMDcwNV5BMl5BanBnXkFtZTgwODIyODIzNjE@._V1_UX182_CR0,0,182,268_AL_.jpg
4119	Poolhall Junkies	R	tt0273982	https://www.imdb.com/title/tt0273982	Poolhall Junkies Poster	https://m.media-amazon.com/images/M/MV5BMTY5NjE3MjkzM15BMl5BanBnXkFtZTYwMDU1NDk5._V1_UX182_CR0,0,182,268_AL_.jpg
4120	The Loss of Sexual Innocence	R	tt0126859	https://www.imdb.com/title/tt0126859	The Loss of Sexual Innocence Poster	https://m.media-amazon.com/images/M/MV5BNWFkNDRhMzctM2FhNS00ZjVjLWIyMWQtODAwMWNhZWU2NTM0XkEyXkFqcGdeQXVyMjk1NzAxNg@@._V1_UX182_CR0,0,182,268_AL_.jpg
4121	Holy Motors	Not Rated	tt2076220	https://www.imdb.com/title/tt2076220	Holy Motors Poster	https://m.media-amazon.com/images/M/MV5BODk2MDc4MDk2OF5BMl5BanBnXkFtZTcwMTcyODY1OA@@._V1_UY268_CR0,0,182,268_AL_.jpg
4122	Joe	R	tt2382396	https://www.imdb.com/title/tt2382396	Joe Poster	https://m.media-amazon.com/images/M/MV5BMjExMzk5MTM1Ml5BMl5BanBnXkFtZTgwNzAzODgxMTE@._V1_UX182_CR0,0,182,268_AL_.jpg
4123	Shooting Fish	PG	tt0120122	https://www.imdb.com/title/tt0120122	Shooting Fish Poster	https://m.media-amazon.com/images/M/MV5BZDY0Yzk0YTItMDNkNC00MjM2LTk0NTAtZWMwNGZkMDA4Y2Q0XkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UY268_CR2,0,182,268_AL_.jpg
4124	Prison	R	tt0095904	https://www.imdb.com/title/tt0095904	Prison Poster	https://m.media-amazon.com/images/M/MV5BMTk1MDRiZjktNGExOS00ZTg0LWE3MzMtMDZhOWJmZDlmYzFhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg
4125	Psycho Beach Party	Unrated	tt0206226	https://www.imdb.com/title/tt0206226	Psycho Beach Party Poster	https://m.media-amazon.com/images/M/MV5BYzJmMTE5ZmYtNDBhMC00OTQ2LWE5YWUtNzhiMTVmMDc5OWI0XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_UY268_CR9,0,182,268_AL_.jpg
4126	The Big Tease	R	tt0156639	https://www.imdb.com/title/tt0156639	The Big Tease Poster	https://m.media-amazon.com/images/M/MV5BMTQwODQ2OTYwM15BMl5BanBnXkFtZTcwMjU5NTAyMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg
4127	Buen D铆a, Ram贸n	PG-13	tt2876428	https://www.imdb.com/title/tt2876428	Good Day, Ramon Poster	https://m.media-amazon.com/images/M/MV5BMjIzMTgyMzg3Nl5BMl5BanBnXkFtZTgwNjA2MDU2MjE@._V1_UY268_CR1,0,182,268_AL_.jpg
4128	Trust	R	tt1529572	https://www.imdb.com/title/tt1529572	Trust Poster	https://m.media-amazon.com/images/M/MV5BMzM2Mjc0Nzc4NF5BMl5BanBnXkFtZTcwNDk0MjY0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg
4129	An Everlasting Piece	R	tt0218182	https://www.imdb.com/title/tt0218182	An Everlasting Piece Poster	https://m.media-amazon.com/images/M/MV5BMTc4MTYwOTk3MV5BMl5BanBnXkFtZTcwMDcwODkxMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg
4130	Among Giants	R	tt0122906	https://www.imdb.com/title/tt0122906	Among Giants Poster	https://m.media-amazon.com/images/M/MV5BNjQ4ZDRiNTUtNDYwMC00MDhjLThhYjQtMTRlMzNlMjUyZTBiXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX182_CR0,0,182,268_AL_.jpg
4131	Adore	R	tt2103267	https://www.imdb.com/title/tt2103267	Adoration Poster	https://m.media-amazon.com/images/M/MV5BMjg5ODY2MzcwMF5BMl5BanBnXkFtZTcwODEwNjQ3OQ@@._V1_UX182_CR0,0,182,268_AL_.jpg
4132	The Velocity of Gary	R	tt0120878	https://www.imdb.com/title/tt0120878	The Velocity of Gary Poster	https://m.media-amazon.com/images/M/MV5BMTc4MDIzNjY2MF5BMl5BanBnXkFtZTcwNzY0MTUyMQ@@._V1_UY268_CR0,0,182,268_AL_.jpg
4133	Mondays in the Sun	R	tt0319769	https://www.imdb.com/title/tt0319769	Los lunes al sol Poster	https://m.media-amazon.com/images/M/MV5BYTYzYTAxYTMtOGI3Ni00MTk0LWFjMzEtYzc2MjdlZWY2MzlhXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UY268_CR3,0,182,268_AL_.jpg
4134	Stake Land	R	tt1464580	https://www.imdb.com/title/tt1464580	Stake Land Poster	https://m.media-amazon.com/images/M/MV5BMTg4NTYwNDc0MF5BMl5BanBnXkFtZTcwNDg1NzM5NA@@._V1_UX182_CR0,0,182,268_AL_.jpg
4135	Sonny with a Chance	TV-G	tt1252374	https://www.imdb.com/title/tt1252374	Sonny with a Chance Poster	https://m.media-amazon.com/images/M/MV5BYmZmOTUxMmMtYzk3MC00Nzk3LTk4ODktODA0NTU2ZmJlY2RjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTEwMTkwOTI@._V1_UX182_CR0,0,182,268_AL_.jpg
4136	The Last Time I Committed Suicide	R	tt0119502	https://www.imdb.com/title/tt0119502	The Last Time I Committed Suicide Poster	https://m.media-amazon.com/images/M/MV5BZTIwMTQ4M2EtMGE3Yi00MjJiLThlZGQtYmFlMTQ3YWY4NTlmXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg
4137	Futuro Beach	Unrated	tt2199543	https://www.imdb.com/title/tt2199543	Futuro Beach Poster	https://m.media-amazon.com/images/M/MV5BMTcxODYxMDAxM15BMl5BanBnXkFtZTgwMjEwNDIzNDE@._V1_UY268_CR0,0,182,268_AL_.jpg
4138	Another Happy Day	R	tt1719071	https://www.imdb.com/title/tt1719071	Another Happy Day Poster	https://m.media-amazon.com/images/M/MV5BMTczODU4MDg2OV5BMl5BanBnXkFtZTcwMDE3MzU5Ng@@._V1_UY268_CR3,0,182,268_AL_.jpg
4139	A Lonely Place to Die	R	tt1422136	https://www.imdb.com/title/tt1422136	A Lonely Place to Die Poster	https://m.media-amazon.com/images/M/MV5BNTM5OTA2MTc2N15BMl5BanBnXkFtZTcwMjI3NDQyNg@@._V1_UY268_CR3,0,182,268_AL_.jpg
4140	Nothing	R	tt0298482	https://www.imdb.com/title/tt0298482	Nothing Poster	https://m.media-amazon.com/images/M/MV5BMTI0MTg0ODI0M15BMl5BanBnXkFtZTcwNTM1MDEzMQ@@._V1_UY268_CR13,0,182,268_AL_.jpg
4141	177	PG	tt0068156	https://www.imdb.com/title/tt0068156	1776 Poster	https://m.media-amazon.com/images/M/MV5BNGZhYWMxMDMtODU2Yi00MDVmLWI4ODYtMzgyNjg4NGNjZjM2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX182_CR0,0,182,268_AL_.jpg
4142	Inescapable	R	tt1844203	https://www.imdb.com/title/tt1844203	Inescapable Poster	https://m.media-amazon.com/images/M/MV5BMTczMjIzOTA1NF5BMl5BanBnXkFtZTcwMDEwMDcwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg
4143	Hell's Angels	Passed	tt0020960	https://www.imdb.com/title/tt0020960	Hell's Angels Poster	https://m.media-amazon.com/images/M/MV5BNTZjYjc1M2QtMzhjYy00Y2E5LTk2ZmQtNzQzOWU1ODJkOGQwXkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_UY268_CR3,0,182,268_AL_.jpg
4144	The Veil	R	tt3533916	https://www.imdb.com/title/tt3533916	The Veil Poster	https://m.media-amazon.com/images/M/MV5BYTFkMjgyMDMtMDQyMC00MThjLTg1MGMtNDNiZTAwOGRlMzBkXkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_UX182_CR0,0,182,268_AL_.jpg
4145	The Loved Ones	R	tt1316536	https://www.imdb.com/title/tt1316536	The Loved Ones Poster	https://m.media-amazon.com/images/M/MV5BMjEzNDQ0MzM0N15BMl5BanBnXkFtZTcwMzA1NDM1Nw@@._V1_UX182_CR0,0,182,268_AL_.jpg
4146	No Vacancy	R	tt1854582	https://www.imdb.com/title/tt1854582	No Vacancy Poster	https://m.media-amazon.com/images/M/MV5BMjMwNzg0MzYzMV5BMl5BanBnXkFtZTgwNDUxMDY2MTE@._V1_UY268_CR9,0,182,268_AL_.jpg
4147	How to Fall in Love	TV-G	tt2395247	https://www.imdb.com/title/tt2395247	How to Fall in Love Poster	https://m.media-amazon.com/images/M/MV5BMzc3NjMyNzk2OV5BMl5BanBnXkFtZTgwMTUzODg4MzE@._V1_UX182_CR0,0,182,268_AL_.jpg
4148	The Perfect Wave	PG	tt2414822	https://www.imdb.com/title/tt2414822	The Perfect Wave Poster	https://m.media-amazon.com/images/M/MV5BMTYyOTUwNzA0OV5BMl5BanBnXkFtZTgwNzg0Njg5MTE@._V1_UY268_CR1,0,182,268_AL_.jpg
4149	A Man for All Seasons	Approved	tt0060665	https://www.imdb.com/title/tt0060665	A Man for All Seasons Poster	https://m.media-amazon.com/images/M/MV5BMTRjOTA1NzctNzFmMy00ZjcwLWExYjgtYWQyZDM5ZWY1Y2JlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX182_CR0,0,182,268_AL_.jpg
4150	Network	R	tt0074958	https://www.imdb.com/title/tt0074958	Network Poster	https://m.media-amazon.com/images/M/MV5BZGNjYjM2MzItZGQzZi00NmY3LTgxOGUtMTQ2MWQxNWQ2MmMwXkEyXkFqcGdeQXVyNzM0MTUwNTY@._V1_UX182_CR0,0,182,268_AL_.jpg
4151	Gone with the Wind	G	tt0031381	https://www.imdb.com/title/tt0031381	Gone with the Wind Poster	https://m.media-amazon.com/images/M/MV5BYjUyZWZkM2UtMzYxYy00ZmQ3LWFmZTQtOGE2YjBkNjA3YWZlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg
4152	Desert Dancer	PG-13	tt2403393	https://www.imdb.com/title/tt2403393	Desert Dancer Poster	https://m.media-amazon.com/images/M/MV5BMjI5NzA2NjQ2MV5BMl5BanBnXkFtZTgwNzgzNTEyNDE@._V1_UX182_CR0,0,182,268_AL_.jpg
4153	Major Dundee	Approved	tt0059418	https://www.imdb.com/title/tt0059418	Major Dundee Poster	https://m.media-amazon.com/images/M/MV5BZWM5MmNiZDYtZmVhNy00NjQzLTlmNTYtODMxMDZiZjkwMTg3XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg
